Dataset,Escenario,ScenarioID,EvalID,WeightPath,ValOutputDir,mAP50-95,mAP50,Precision,Recall
VISDRONE,N9_H_pH_JR_40_yolo11n_e100,N9,N9_VISDRONE,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_VISDRONE,0.0006,0.0029,0.0037,0.0204
VISDRONE,N8_H_pH_JR_15_yolo11n_e100,N8,N8_VISDRONE,runs/train/N8_H_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N8_VISDRONE,0.0003,0.0016,0.0022,0.0204
VISDRONE,N7_H_pH_JS_0_yolo11n_e100,N7,N7_VISDRONE,runs/train/N7_H_pH_JS_0_yolo11n_e100/weights/best.pt,exports/val_trace/N7_VISDRONE,0.0002,0.0018,0.0035,0.0204
VISDRONE,N6_H_pH_JR_0_yolo11n_e100,N6,N6_VISDRONE,runs/train/N6_H_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N6_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N5_H_JR_0_yolo11n_e100,N5,N5_VISDRONE,runs/train/N5_H_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N5_VISDRONE,0.0018,0.0029,0.0127,0.0204
VISDRONE,N4_H_pH_0_yolo11n_e100,N4,N4_VISDRONE,runs/train/N4_H_pH_0_yolo11n_e100/weights/best.pt,exports/val_trace/N4_VISDRONE,0.0004,0.0021,0.0029,0.0204
VISDRONE,N3_H_Raw_0_yolo11n_e100,N3,N3_VISDRONE,runs/train/N3_H_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N3_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N2_B_Raw_0_yolo11n_e100,N2,N2_VISDRONE,runs/train/N2_B_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N2_VISDRONE,0.0003,0.0009,0.0014,0.0204
VISDRONE,N14_P_pH_JR_40_yolo11n_e100,N14,N14_VISDRONE,runs/train/N14_P_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N14_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N13_P_pH_JR_15_yolo11n_e100,N13,N13_VISDRONE,runs/train/N13_P_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N13_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N12_P_pH_JR_0_yolo11n_e100,N12,N12_VISDRONE,runs/train/N12_P_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N12_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N11_P_Raw_0_yolo11n_e100,N11,N11_VISDRONE,runs/train/N11_P_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N11_VISDRONE,0.0,0.0,0.0,0.0
VISDRONE,N10_H_pH_JS_40_yolo11n_e100,N10,N10_VISDRONE,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_VISDRONE,0.0034,0.0067,0.1533,0.0204
VISDRONE,N1_YOLO11n,N1,N1_VISDRONE,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_VISDRONE,0.0294,0.0318,0.2966,0.0204
COCO_TEST,N9_H_pH_JR_40_yolo11n_e100,N9,N9_COCO_TEST,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_COCO_TEST,0.7891,0.9239,0.9079,0.8968
COCO_TEST,N8_H_pH_JR_15_yolo11n_e100,N8,N8_COCO_TEST,runs/train/N8_H_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N8_COCO_TEST,0.7931,0.92,0.9159,0.9902
COCO_TEST,N7_H_pH_JS_0_yolo11n_e100,N7,N7_COCO_TEST,runs/train/N7_H_pH_JS_0_yolo11n_e100/weights/best.pt,exports/val_trace/N7_COCO_TEST,0.7607,0.8831,0.8197,0.9091
COCO_TEST,N6_H_pH_JR_0_yolo11n_e100,N6,N6_COCO_TEST,runs/train/N6_H_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N6_COCO_TEST,0.7578,0.8516,0.7849,0.9955
COCO_TEST,N5_H_JR_0_yolo11n_e100,N5,N5_COCO_TEST,runs/train/N5_H_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N5_COCO_TEST,0.8166,0.935,0.9153,0.9836
COCO_TEST,N4_H_pH_0_yolo11n_e100,N4,N4_COCO_TEST,runs/train/N4_H_pH_0_yolo11n_e100/weights/best.pt,exports/val_trace/N4_COCO_TEST,0.8151,0.9157,0.7697,0.9119
COCO_TEST,N3_H_Raw_0_yolo11n_e100,N3,N3_COCO_TEST,runs/train/N3_H_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N3_COCO_TEST,0.7629,0.9075,0.895,0.9091
COCO_TEST,N2_B_Raw_0_yolo11n_e100,N2,N2_COCO_TEST,runs/train/N2_B_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N2_COCO_TEST,0.7856,0.8889,0.8262,0.9091
COCO_TEST,N14_P_pH_JR_40_yolo11n_e100,N14,N14_COCO_TEST,runs/train/N14_P_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N14_COCO_TEST,0.3131,0.5182,0.3968,0.7273
COCO_TEST,N13_P_pH_JR_15_yolo11n_e100,N13,N13_COCO_TEST,runs/train/N13_P_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N13_COCO_TEST,0.2778,0.6051,0.6915,0.6132
COCO_TEST,N12_P_pH_JR_0_yolo11n_e100,N12,N12_COCO_TEST,runs/train/N12_P_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N12_COCO_TEST,0.3514,0.6299,0.6817,0.6364
COCO_TEST,N11_P_Raw_0_yolo11n_e100,N11,N11_COCO_TEST,runs/train/N11_P_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N11_COCO_TEST,0.2673,0.4649,0.4478,0.4545
COCO_TEST,N10_H_pH_JS_40_yolo11n_e100,N10,N10_COCO_TEST,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_COCO_TEST,0.7754,0.8725,0.8861,0.8182
COCO_TEST,N1_YOLO11n,N1,N1_COCO_TEST,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_COCO_TEST,0.5255,0.6186,0.5061,0.6531
MANIPAL_UAV,N9_H_pH_JR_40_yolo11n_e100,N9,N9_MANIPAL_UAV,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_MANIPAL_UAV,0.1447,0.4039,0.5495,0.3835
MANIPAL_UAV,N8_H_pH_JR_15_yolo11n_e100,N8,N8_MANIPAL_UAV,runs/train/N8_H_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N8_MANIPAL_UAV,0.1269,0.3813,0.5658,0.3883
MANIPAL_UAV,N7_H_pH_JS_0_yolo11n_e100,N7,N7_MANIPAL_UAV,runs/train/N7_H_pH_JS_0_yolo11n_e100/weights/best.pt,exports/val_trace/N7_MANIPAL_UAV,0.1354,0.3939,0.5598,0.3544
MANIPAL_UAV,N6_H_pH_JR_0_yolo11n_e100,N6,N6_MANIPAL_UAV,runs/train/N6_H_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N6_MANIPAL_UAV,0.1388,0.3995,0.7001,0.335
MANIPAL_UAV,N5_H_JR_0_yolo11n_e100,N5,N5_MANIPAL_UAV,runs/train/N5_H_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N5_MANIPAL_UAV,0.1277,0.3955,0.5281,0.3495
MANIPAL_UAV,N4_H_pH_0_yolo11n_e100,N4,N4_MANIPAL_UAV,runs/train/N4_H_pH_0_yolo11n_e100/weights/best.pt,exports/val_trace/N4_MANIPAL_UAV,0.148,0.3982,0.5455,0.367
MANIPAL_UAV,N3_H_Raw_0_yolo11n_e100,N3,N3_MANIPAL_UAV,runs/train/N3_H_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N3_MANIPAL_UAV,0.1398,0.3896,0.5676,0.3569
MANIPAL_UAV,N2_B_Raw_0_yolo11n_e100,N2,N2_MANIPAL_UAV,runs/train/N2_B_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N2_MANIPAL_UAV,0.085,0.2585,0.4691,0.2039
MANIPAL_UAV,N14_P_pH_JR_40_yolo11n_e100,N14,N14_MANIPAL_UAV,runs/train/N14_P_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N14_MANIPAL_UAV,0.1174,0.3284,0.3128,0.2961
MANIPAL_UAV,N13_P_pH_JR_15_yolo11n_e100,N13,N13_MANIPAL_UAV,runs/train/N13_P_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N13_MANIPAL_UAV,0.0924,0.278,0.5045,0.2476
MANIPAL_UAV,N12_P_pH_JR_0_yolo11n_e100,N12,N12_MANIPAL_UAV,runs/train/N12_P_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N12_MANIPAL_UAV,0.0863,0.2594,0.2417,0.3883
MANIPAL_UAV,N11_P_Raw_0_yolo11n_e100,N11,N11_MANIPAL_UAV,runs/train/N11_P_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N11_MANIPAL_UAV,0.1304,0.3495,0.3147,0.3544
MANIPAL_UAV,N10_H_pH_JS_40_yolo11n_e100,N10,N10_MANIPAL_UAV,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_MANIPAL_UAV,0.1576,0.4328,0.5816,0.3786
MANIPAL_UAV,N1_YOLO11n,N1,N1_MANIPAL_UAV,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_MANIPAL_UAV,0.132,0.3574,0.7126,0.2768
IRINA,N9_H_pH_JR_40_yolo11n_e100,N9,N9_IRINA,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_IRINA,0.7405,0.9498,0.8355,0.8824
IRINA,N8_H_pH_JR_15_yolo11n_e100,N8,N8_IRINA,runs/train/N8_H_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N8_IRINA,0.723,0.9606,0.887,0.9242
IRINA,N7_H_pH_JS_0_yolo11n_e100,N7,N7_IRINA,runs/train/N7_H_pH_JS_0_yolo11n_e100/weights/best.pt,exports/val_trace/N7_IRINA,0.7211,0.9457,0.9261,0.9412
IRINA,N6_H_pH_JR_0_yolo11n_e100,N6,N6_IRINA,runs/train/N6_H_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N6_IRINA,0.7049,0.9784,0.9176,0.9412
IRINA,N5_H_JR_0_yolo11n_e100,N5,N5_IRINA,runs/train/N5_H_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N5_IRINA,0.7221,0.9612,0.9141,0.9412
IRINA,N4_H_pH_0_yolo11n_e100,N4,N4_IRINA,runs/train/N4_H_pH_0_yolo11n_e100/weights/best.pt,exports/val_trace/N4_IRINA,0.7149,0.9922,0.9415,0.9471
IRINA,N3_H_Raw_0_yolo11n_e100,N3,N3_IRINA,runs/train/N3_H_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N3_IRINA,0.7167,0.9346,0.9147,0.8235
IRINA,N2_B_Raw_0_yolo11n_e100,N2,N2_IRINA,runs/train/N2_B_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N2_IRINA,0.7057,0.9396,0.9182,0.9412
IRINA,N14_P_pH_JR_40_yolo11n_e100,N14,N14_IRINA,runs/train/N14_P_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N14_IRINA,0.5637,0.8879,0.8003,0.8235
IRINA,N13_P_pH_JR_15_yolo11n_e100,N13,N13_IRINA,runs/train/N13_P_pH_JR_15_yolo11n_e100/weights/best.pt,exports/val_trace/N13_IRINA,0.5568,0.8976,0.7591,0.8824
IRINA,N12_P_pH_JR_0_yolo11n_e100,N12,N12_IRINA,runs/train/N12_P_pH_JR_0_yolo11n_e100/weights/best.pt,exports/val_trace/N12_IRINA,0.609,0.842,0.8161,0.7837
IRINA,N11_P_Raw_0_yolo11n_e100,N11,N11_IRINA,runs/train/N11_P_Raw_0_yolo11n_e100/weights/best.pt,exports/val_trace/N11_IRINA,0.5409,0.8221,0.7683,0.7647
IRINA,N10_H_pH_JS_40_yolo11n_e100,N10,N10_IRINA,runs/train/N10_H_pH_JS_40_yolo11n_e100/weights/best.pt,exports/val_trace/N10_IRINA,0.6973,0.948,0.9303,0.9412
IRINA,N1_YOLO11n,N1,N1_IRINA,runs/train/N1_YOLO11n/weights/best.pt,exports/val_trace/N1_IRINA,0.7122,0.9588,0.8522,0.8824
NTUT,N9_H_pH_JR_40_yolo11n_e100,N9,N9_NTUT,runs/train/N9_H_pH_JR_40_yolo11n_e100/weights/best.pt,exports/val_trace/N9_NTUT,0.0503,0.2043,0.3511,0.2948
