epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.038,0.99498,1.57852,1.16995,0.78963,0.69887,0.78269,0.53725,0.9547,1.15189,1.1074,0.00333165,0.00333165,0.00333165
2,566.582,1.12124,1.28772,1.24032,0.74876,0.70519,0.74173,0.47763,1.12405,1.12244,1.22941,0.006599,0.006599,0.006599
3,839.13,1.28355,1.37348,1.34468,0.62638,0.52416,0.55224,0.32116,1.43327,1.61954,1.52087,0.00980035,0.00980035,0.00980035
4,1111.61,1.35342,1.42288,1.41315,0.74609,0.65539,0.71788,0.45354,1.21139,1.15199,1.31685,0.009703,0.009703,0.009703
5,1386.62,1.29051,1.32414,1.36591,0.77132,0.67455,0.74643,0.49051,1.15351,1.05424,1.26506,0.009604,0.009604,0.009604
6,1647.98,1.24767,1.26906,1.34669,0.78474,0.66463,0.74717,0.48814,1.11386,1.02761,1.24397,0.009505,0.009505,0.009505
7,1912.05,1.20922,1.20446,1.31476,0.78914,0.71334,0.77195,0.51974,1.08656,0.97223,1.22336,0.009406,0.009406,0.009406
8,2175.67,1.1792,1.18248,1.30207,0.80493,0.70326,0.78351,0.54259,1.01527,0.93392,1.18168,0.009307,0.009307,0.009307
9,2444.94,1.14851,1.13294,1.27898,0.80386,0.70985,0.78624,0.54846,1.01653,0.91283,1.18371,0.009208,0.009208,0.009208
10,2710.08,1.13155,1.11609,1.26936,0.79739,0.73125,0.7987,0.5583,1.00347,0.90415,1.17249,0.009109,0.009109,0.009109
11,2975.69,1.12459,1.08959,1.25676,0.8187,0.73568,0.81553,0.57322,0.97568,0.85685,1.13503,0.00901,0.00901,0.00901
12,3239.8,1.09893,1.06254,1.24418,0.82397,0.74088,0.82195,0.58342,0.95246,0.8226,1.12997,0.008911,0.008911,0.008911
13,3504.06,1.0951,1.05875,1.24174,0.81036,0.73595,0.81138,0.58314,0.93344,0.82265,1.12879,0.008812,0.008812,0.008812
14,3770.51,1.07778,1.03375,1.22913,0.80703,0.75756,0.82308,0.59189,0.93135,0.79593,1.12016,0.008713,0.008713,0.008713
15,4036.43,1.06901,1.01896,1.22592,0.8215,0.75337,0.82726,0.59768,0.92292,0.79199,1.11564,0.008614,0.008614,0.008614
16,4299.5,1.06642,1.01606,1.22347,0.81245,0.76028,0.83223,0.60542,0.9113,0.7752,1.10427,0.008515,0.008515,0.008515
17,4564.72,1.05367,1.00155,1.21122,0.82272,0.77153,0.83651,0.61186,0.90083,0.76286,1.09397,0.008416,0.008416,0.008416
18,4832.27,1.04823,0.9947,1.20544,0.81903,0.76843,0.8402,0.61606,0.8813,0.76077,1.07958,0.008317,0.008317,0.008317
19,5096.26,1.03426,0.97273,1.2026,0.83644,0.74981,0.83869,0.6217,0.88087,0.75509,1.0761,0.008218,0.008218,0.008218
20,5360.92,1.03048,0.97377,1.19894,0.82856,0.77424,0.84968,0.6234,0.87597,0.73714,1.07859,0.008119,0.008119,0.008119
21,5625.91,1.01899,0.95619,1.1968,0.83977,0.75834,0.84337,0.62237,0.86512,0.72598,1.07316,0.00802,0.00802,0.00802
22,5890.58,1.01309,0.94311,1.19074,0.84479,0.76649,0.8505,0.63298,0.84967,0.71608,1.05789,0.007921,0.007921,0.007921
23,6159.37,1.00634,0.94372,1.18553,0.83585,0.78018,0.84935,0.63386,0.85356,0.70892,1.06383,0.007822,0.007822,0.007822
24,6423.93,0.99459,0.9248,1.17577,0.82276,0.77968,0.85228,0.63463,0.84734,0.70221,1.06116,0.007723,0.007723,0.007723
25,6687.34,0.997,0.93014,1.17939,0.83788,0.7758,0.85481,0.64102,0.84246,0.70062,1.05663,0.007624,0.007624,0.007624
26,6951.05,0.98812,0.91945,1.17479,0.83525,0.78627,0.85826,0.64827,0.82594,0.68474,1.04713,0.007525,0.007525,0.007525
27,7216.05,0.98346,0.91776,1.17148,0.83494,0.78289,0.86038,0.64649,0.82694,0.68564,1.05076,0.007426,0.007426,0.007426
28,7479.61,0.97448,0.90171,1.16645,0.84499,0.77179,0.85653,0.64854,0.81623,0.69013,1.04066,0.007327,0.007327,0.007327
29,7743.97,0.97848,0.89904,1.1671,0.83827,0.79016,0.86011,0.6509,0.81678,0.67743,1.04301,0.007228,0.007228,0.007228
30,8009.12,0.97436,0.90069,1.16591,0.8361,0.79325,0.86029,0.65091,0.81701,0.67304,1.03871,0.007129,0.007129,0.007129
31,8278.32,0.9644,0.89168,1.16029,0.86024,0.77929,0.86713,0.65738,0.80931,0.6636,1.03271,0.00703,0.00703,0.00703
32,8540.58,0.9588,0.87878,1.15648,0.8467,0.78201,0.86153,0.65571,0.80521,0.66458,1.03159,0.006931,0.006931,0.006931
33,8807.19,0.96051,0.88177,1.1588,0.84085,0.79364,0.86544,0.65653,0.80082,0.65895,1.0286,0.006832,0.006832,0.006832
34,9074.41,0.95624,0.87471,1.15549,0.84752,0.78627,0.86514,0.6597,0.80175,0.65111,1.03196,0.006733,0.006733,0.006733
35,9339.13,0.95395,0.87135,1.15286,0.85034,0.80448,0.87145,0.66488,0.79761,0.64032,1.02828,0.006634,0.006634,0.006634
36,9604.11,0.94632,0.86541,1.14812,0.85448,0.79038,0.87071,0.66629,0.79082,0.64562,1.02405,0.006535,0.006535,0.006535
37,9868.66,0.94438,0.85579,1.14502,0.86547,0.7851,0.87113,0.66539,0.78984,0.64062,1.0212,0.006436,0.006436,0.006436
38,10131,0.93888,0.8563,1.1417,0.85452,0.79287,0.86948,0.66573,0.78531,0.64046,1.0185,0.006337,0.006337,0.006337
39,10396.8,0.93883,0.85251,1.14031,0.86299,0.78472,0.86934,0.66691,0.78148,0.63936,1.01776,0.006238,0.006238,0.006238
40,10661.1,0.93235,0.8506,1.13857,0.86306,0.77989,0.86998,0.6695,0.77913,0.63611,1.01581,0.006139,0.006139,0.006139
41,10926.6,0.92127,0.83777,1.13569,0.84144,0.79868,0.87002,0.67099,0.77475,0.63094,1.01195,0.00604,0.00604,0.00604
42,11192.3,0.92635,0.83962,1.13607,0.85004,0.79597,0.87272,0.67146,0.77688,0.62836,1.01643,0.005941,0.005941,0.005941
43,11463.3,0.92202,0.84043,1.13632,0.86015,0.78491,0.87493,0.67555,0.77823,0.62715,1.01442,0.005842,0.005842,0.005842
44,11729.4,0.91203,0.82394,1.12606,0.834,0.81265,0.87679,0.67584,0.77182,0.62509,1.00894,0.005743,0.005743,0.005743
45,11997.8,0.91161,0.82207,1.12912,0.82985,0.81885,0.87868,0.67775,0.77079,0.62153,1.00987,0.005644,0.005644,0.005644
46,12262.4,0.90909,0.81798,1.12491,0.8341,0.81714,0.87861,0.67916,0.77278,0.6173,1.0096,0.005545,0.005545,0.005545
47,12527,0.90492,0.8124,1.12291,0.83531,0.81652,0.87795,0.67831,0.76971,0.61565,1.00659,0.005446,0.005446,0.005446
48,12792.8,0.90701,0.8169,1.12304,0.84311,0.80672,0.87696,0.67907,0.76682,0.61303,1.00533,0.005347,0.005347,0.005347
49,13061.9,0.89937,0.80396,1.11838,0.83762,0.81839,0.87906,0.68088,0.76416,0.61116,1.00401,0.005248,0.005248,0.005248
50,13327.7,0.89672,0.80498,1.11796,0.84115,0.81341,0.87866,0.68173,0.76151,0.60932,1.00215,0.005149,0.005149,0.005149
51,13592.1,0.89482,0.80557,1.11766,0.856,0.79791,0.87961,0.68184,0.75966,0.60834,1.00197,0.00505,0.00505,0.00505
52,13856.8,0.88325,0.79118,1.11083,0.86324,0.79441,0.87867,0.68354,0.75697,0.6089,0.99894,0.004951,0.004951,0.004951
53,14123.3,0.88791,0.78943,1.11052,0.86964,0.79209,0.87996,0.68429,0.75476,0.60742,0.99564,0.004852,0.004852,0.004852
54,14388.3,0.88162,0.788,1.10705,0.8777,0.78778,0.88031,0.68475,0.75332,0.60667,0.99496,0.004753,0.004753,0.004753
55,14658.2,0.87855,0.78354,1.10965,0.87401,0.7917,0.88217,0.6854,0.75304,0.60659,0.99562,0.004654,0.004654,0.004654
56,14923.5,0.88025,0.77458,1.10725,0.86287,0.80217,0.88295,0.68647,0.75386,0.60708,0.99614,0.004555,0.004555,0.004555
57,15188.9,0.8751,0.7775,1.10678,0.88149,0.78478,0.88332,0.68662,0.75424,0.60754,0.99564,0.004456,0.004456,0.004456
58,15453.8,0.86671,0.77033,1.10118,0.84769,0.81607,0.88316,0.6854,0.7542,0.60709,0.99631,0.004357,0.004357,0.004357
59,15718.1,0.86294,0.76907,1.09983,0.85162,0.81187,0.88313,0.68668,0.75278,0.60545,0.99622,0.004258,0.004258,0.004258
60,15983.2,0.8631,0.76459,1.10046,0.8597,0.80023,0.88262,0.68593,0.75185,0.60387,0.99597,0.004159,0.004159,0.004159
61,16251.6,0.85861,0.75546,1.09693,0.85341,0.8062,0.88254,0.68662,0.75219,0.60046,0.99718,0.00406,0.00406,0.00406
62,16516.5,0.85884,0.75522,1.0988,0.85476,0.80358,0.88235,0.68708,0.752,0.59818,0.99778,0.003961,0.003961,0.003961
1,401.373,1.00159,1.58027,1.17259,0.78888,0.72033,0.78649,0.54301,0.94711,1.1268,1.0989,0.00333165,0.00333165,0.00333165
