epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.013,1.20116,1.69066,1.03913,0.77314,0.65431,0.73451,0.46331,1.17328,1.57622,1.05365,0.000665491,0.000665491,0.000665491
2,478.046,1.29334,1.18319,1.10302,0.82687,0.69601,0.77411,0.52127,1.15528,0.94918,1.07181,0.00131897,0.00131897,0.00131897
3,713.51,1.30223,1.07096,1.09854,0.84366,0.69509,0.78347,0.51609,1.17038,0.9533,1.06283,0.00195925,0.00195925,0.00195925
4,949.703,1.26904,0.99421,1.08276,0.83611,0.72814,0.79018,0.52465,1.16095,0.92754,1.07375,0.0019406,0.0019406,0.0019406
5,1189.19,1.24279,0.9566,1.06726,0.84863,0.7378,0.80453,0.5529,1.07115,0.8387,1.02752,0.0019208,0.0019208,0.0019208
6,1426.6,1.16986,0.88207,1.04157,0.87132,0.74977,0.82293,0.57318,1.0185,0.7863,0.99979,0.001901,0.001901,0.001901
7,1661.47,1.14217,0.85166,1.03583,0.8892,0.77665,0.84304,0.58654,1.01713,0.7309,0.99816,0.0018812,0.0018812,0.0018812
8,1905.25,1.12534,0.81759,1.01991,0.90552,0.74977,0.84134,0.60434,0.95751,0.69336,0.9716,0.0018614,0.0018614,0.0018614
9,2140.5,1.10354,0.80757,1.01837,0.89442,0.76941,0.8485,0.60848,0.956,0.68954,0.9627,0.0018416,0.0018416,0.0018416
10,2377.03,1.08244,0.79267,1.01175,0.89164,0.78499,0.85651,0.61002,0.9799,0.67528,0.98163,0.0018218,0.0018218,0.0018218
11,2609.11,1.07232,0.77255,1.00502,0.90594,0.80259,0.86828,0.62349,0.93319,0.65081,0.96635,0.001802,0.001802,0.001802
12,2845.08,1.0449,0.73869,0.99241,0.9223,0.78777,0.86876,0.62618,0.91912,0.64728,0.96486,0.0017822,0.0017822,0.0017822
13,3081.21,1.03808,0.73034,0.9871,0.91879,0.77595,0.86207,0.62988,0.90914,0.64681,0.95103,0.0017624,0.0017624,0.0017624
14,3315.5,1.04011,0.72735,0.98949,0.89902,0.78382,0.86354,0.64073,0.89309,0.63896,0.94173,0.0017426,0.0017426,0.0017426
15,3552.1,1.02576,0.71964,0.98073,0.92931,0.7785,0.86042,0.6391,0.88137,0.64579,0.94627,0.0017228,0.0017228,0.0017228
16,3788.18,1.00432,0.69157,0.97231,0.9193,0.79186,0.87209,0.6568,0.86465,0.58489,0.93626,0.001703,0.001703,0.001703
17,4021.17,0.9939,0.68627,0.97059,0.92674,0.78591,0.86161,0.64841,0.87242,0.60726,0.93585,0.0016832,0.0016832,0.0016832
18,4258.6,0.99297,0.68738,0.97036,0.92368,0.80723,0.88533,0.65653,0.83483,0.59157,0.92107,0.0016634,0.0016634,0.0016634
19,4491.73,0.99266,0.67818,0.97272,0.92888,0.82206,0.88427,0.64703,0.87287,0.58801,0.94302,0.0016436,0.0016436,0.0016436
20,4731.77,0.96143,0.66234,0.96513,0.94032,0.81928,0.88645,0.66283,0.85182,0.57545,0.94336,0.0016238,0.0016238,0.0016238
21,4980.62,0.96264,0.65627,0.96519,0.91246,0.81557,0.88364,0.6585,0.81853,0.55978,0.91818,0.001604,0.001604,0.001604
22,5226.65,0.95602,0.65937,0.96305,0.93931,0.81754,0.88826,0.67612,0.82338,0.55013,0.91662,0.0015842,0.0015842,0.0015842
23,5462.64,0.94853,0.64234,0.9569,0.92199,0.80352,0.87621,0.65842,0.81407,0.57241,0.91273,0.0015644,0.0015644,0.0015644
24,5699.24,0.93613,0.63076,0.94851,0.93306,0.81388,0.89195,0.67607,0.8126,0.5595,0.91324,0.0015446,0.0015446,0.0015446
25,5936.22,0.93525,0.63463,0.95379,0.93522,0.81372,0.89353,0.67341,0.79859,0.54198,0.90878,0.0015248,0.0015248,0.0015248
26,6170.54,0.94743,0.64222,0.9581,0.92065,0.82113,0.89124,0.67267,0.81057,0.55393,0.91273,0.001505,0.001505,0.001505
27,6406.04,0.92928,0.62314,0.94763,0.94286,0.81835,0.89575,0.68443,0.7892,0.53714,0.90578,0.0014852,0.0014852,0.0014852
28,6644.84,0.92572,0.61807,0.95143,0.92111,0.82947,0.89687,0.68399,0.79136,0.52505,0.90957,0.0014654,0.0014654,0.0014654
29,6877.5,0.9136,0.61535,0.9466,0.93074,0.82198,0.89393,0.68737,0.77432,0.51821,0.90619,0.0014456,0.0014456,0.0014456
30,7111.66,0.90813,0.60589,0.94379,0.93703,0.81373,0.90485,0.68163,0.80079,0.51958,0.91162,0.0014258,0.0014258,0.0014258
31,7352.71,0.88565,0.59371,0.93784,0.93079,0.8351,0.90273,0.68985,0.78996,0.51177,0.90591,0.001406,0.001406,0.001406
32,7584.67,0.89391,0.59407,0.93531,0.94219,0.81572,0.89834,0.68415,0.7741,0.5222,0.8956,0.0013862,0.0013862,0.0013862
33,7819.12,0.90191,0.59744,0.94043,0.92292,0.82484,0.89912,0.6896,0.78459,0.50664,0.90261,0.0013664,0.0013664,0.0013664
34,8055.48,0.89425,0.59686,0.93768,0.94531,0.81697,0.90816,0.69931,0.76367,0.50943,0.90045,0.0013466,0.0013466,0.0013466
35,8294,0.88479,0.58341,0.94167,0.94664,0.82391,0.90989,0.70602,0.74051,0.48085,0.89352,0.0013268,0.0013268,0.0013268
