epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.181,1.18253,1.60385,1.04056,0.87112,0.71992,0.80523,0.53877,1.07099,1.10423,1.01937,0.000665544,0.000665544,0.000665544
2,437.221,1.26079,1.115,1.08349,0.87029,0.71183,0.80473,0.54126,1.10782,0.91809,1.07057,0.00131902,0.00131902,0.00131902
3,661.637,1.28123,1.03248,1.09167,0.87202,0.74317,0.81564,0.55265,1.11335,0.88731,1.03882,0.0019593,0.0019593,0.0019593
4,885.889,1.23883,0.97992,1.07511,0.88652,0.77408,0.83977,0.57397,1.0171,0.81645,0.99862,0.0019406,0.0019406,0.0019406
5,1112.39,1.17798,0.89516,1.05406,0.87164,0.73464,0.82169,0.58309,1.02646,0.792,1.00999,0.0019208,0.0019208,0.0019208
6,1338.09,1.1583,0.86718,1.04231,0.88776,0.75975,0.8332,0.59505,1.01055,0.74896,0.99256,0.001901,0.001901,0.001901
7,1564.59,1.13455,0.83056,1.03238,0.89983,0.77208,0.84766,0.61523,0.94085,0.68816,0.97079,0.0018812,0.0018812,0.0018812
8,1789.5,1.09535,0.79825,1.01797,0.9017,0.78059,0.8619,0.62323,0.92642,0.73635,0.95745,0.0018614,0.0018614,0.0018614
9,2014.14,1.08866,0.79429,1.01889,0.91217,0.77712,0.87067,0.62554,0.96618,0.67189,0.97097,0.0018416,0.0018416,0.0018416
10,2238.65,1.05846,0.76066,1.00473,0.91444,0.80384,0.88289,0.65379,0.87586,0.62111,0.93202,0.0018218,0.0018218,0.0018218
11,2466.24,1.05406,0.75118,1.00037,0.94362,0.81193,0.89363,0.67149,0.86358,0.59182,0.93458,0.001802,0.001802,0.001802
12,2691.04,1.02639,0.72976,0.98975,0.92503,0.81096,0.88002,0.65419,0.8594,0.62001,0.93243,0.0017822,0.0017822,0.0017822
13,2915.17,1.01309,0.70823,0.98033,0.93895,0.80688,0.89159,0.65044,0.84838,0.58184,0.91784,0.0017624,0.0017624,0.0017624
14,3139.51,1.01013,0.70727,0.98667,0.92594,0.82175,0.88993,0.68062,0.82396,0.57089,0.92101,0.0017426,0.0017426,0.0017426
15,3362.92,0.99546,0.70191,0.97944,0.94014,0.82002,0.89888,0.67114,0.8313,0.54763,0.92591,0.0017228,0.0017228,0.0017228
16,3586.01,0.9981,0.693,0.97822,0.94719,0.81605,0.90274,0.68154,0.83382,0.56209,0.92326,0.001703,0.001703,0.001703
17,3810.8,0.97915,0.67688,0.97144,0.92347,0.80182,0.88532,0.65893,0.82667,0.56804,0.91701,0.0016832,0.0016832,0.0016832
18,4034.08,0.96729,0.6733,0.96987,0.9402,0.82669,0.89168,0.66728,0.81495,0.56183,0.90883,0.0016634,0.0016634,0.0016634
19,4257.23,0.96357,0.66908,0.96681,0.95002,0.82912,0.90463,0.68669,0.80797,0.53443,0.91133,0.0016436,0.0016436,0.0016436
20,4483.7,0.95951,0.65204,0.96892,0.96513,0.83013,0.90791,0.69311,0.79589,0.52251,0.90643,0.0016238,0.0016238,0.0016238
21,4708.93,0.94875,0.65526,0.96582,0.92652,0.82871,0.90578,0.69464,0.78354,0.52031,0.9005,0.001604,0.001604,0.001604
