epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.489,0.9802,1.72985,1.23839,0.70102,0.68527,0.71198,0.46528,1.04245,1.43457,1.20342,0.00332986,0.00332986,0.00332986
2,252.047,1.106,1.45063,1.31592,0.68543,0.6942,0.70373,0.43704,1.14342,1.26277,1.29656,0.00659723,0.00659723,0.00659723
3,385.605,1.28029,1.54965,1.43582,0.593,0.58621,0.58023,0.33469,1.37497,1.50975,1.5115,0.00979859,0.00979859,0.00979859
4,519.513,1.37382,1.60522,1.527,0.59063,0.54911,0.5377,0.30022,1.41244,1.57897,1.58765,0.009703,0.009703,0.009703
5,643.804,1.34811,1.53895,1.51763,0.67188,0.60677,0.61729,0.36388,1.30843,1.37201,1.47001,0.009604,0.009604,0.009604
6,767.946,1.31317,1.50046,1.49254,0.66303,0.62165,0.65,0.40482,1.22441,1.2837,1.41782,0.009505,0.009505,0.009505
7,892.033,1.27684,1.44085,1.46553,0.68009,0.6317,0.64817,0.39492,1.27028,1.31641,1.4375,0.009406,0.009406,0.009406
8,1016.56,1.24588,1.39778,1.44171,0.6837,0.6224,0.65902,0.42265,1.18445,1.21613,1.38593,0.009307,0.009307,0.009307
9,1140.93,1.23419,1.36424,1.43788,0.71366,0.65234,0.69676,0.44365,1.17445,1.15731,1.35851,0.009208,0.009208,0.009208
10,1262.88,1.21206,1.34262,1.41799,0.70925,0.66964,0.69578,0.45481,1.14022,1.1192,1.31607,0.009109,0.009109,0.009109
11,1385.41,1.19394,1.32445,1.40904,0.72792,0.64732,0.71165,0.46608,1.12747,1.1142,1.32079,0.00901,0.00901,0.00901
12,1509.34,1.17504,1.29916,1.38997,0.73771,0.67334,0.72154,0.47695,1.12777,1.08583,1.29798,0.008911,0.008911,0.008911
13,1632.24,1.15244,1.26487,1.3821,0.69684,0.6875,0.72093,0.47134,1.12259,1.07275,1.30474,0.008812,0.008812,0.008812
14,1754.94,1.13846,1.25321,1.36635,0.72743,0.67614,0.71553,0.49111,1.05698,1.05029,1.26505,0.008713,0.008713,0.008713
15,1877.69,1.14127,1.24,1.37067,0.73097,0.67076,0.7263,0.4909,1.06978,1.05538,1.26287,0.008614,0.008614,0.008614
16,2000.55,1.13023,1.23032,1.35892,0.72938,0.68025,0.72197,0.50298,1.04075,1.02872,1.24519,0.008515,0.008515,0.008515
17,2122.73,1.11812,1.20264,1.34889,0.74416,0.68136,0.73008,0.49497,1.06084,1.04134,1.24088,0.008416,0.008416,0.008416
18,2245.02,1.10088,1.18662,1.33714,0.74709,0.6874,0.7431,0.51247,1.01908,0.99529,1.22697,0.008317,0.008317,0.008317
19,2368,1.09951,1.16373,1.32945,0.73685,0.69689,0.75258,0.51955,1.02393,0.9854,1.22053,0.008218,0.008218,0.008218
20,2490.19,1.07701,1.15223,1.31816,0.75977,0.68862,0.75857,0.53392,0.99749,0.95297,1.20468,0.008119,0.008119,0.008119
21,2612.76,1.08131,1.13626,1.32184,0.72982,0.72321,0.75501,0.52913,1.00128,0.9489,1.21092,0.00802,0.00802,0.00802
22,2735.19,1.07308,1.14347,1.31956,0.76233,0.69531,0.76115,0.53728,0.97671,0.94424,1.18542,0.007921,0.007921,0.007921
23,2858.29,1.05155,1.12889,1.30483,0.7403,0.73214,0.77347,0.53715,1.01348,0.92343,1.22692,0.007822,0.007822,0.007822
24,2981.11,1.05445,1.1166,1.30713,0.74137,0.72824,0.76712,0.53544,0.98238,0.92878,1.20293,0.007723,0.007723,0.007723
25,3103.41,1.04777,1.11567,1.29991,0.74774,0.71094,0.76395,0.53769,0.99594,0.92724,1.19687,0.007624,0.007624,0.007624
26,3225.74,1.04186,1.09809,1.29725,0.74947,0.73787,0.77371,0.54593,0.96164,0.90565,1.18416,0.007525,0.007525,0.007525
27,3348.79,1.03522,1.09074,1.29236,0.73277,0.73908,0.77186,0.54613,0.98075,0.9011,1.18785,0.007426,0.007426,0.007426
28,3472.2,1.02936,1.07991,1.28823,0.76094,0.72114,0.7702,0.55053,0.96,0.90595,1.17261,0.007327,0.007327,0.007327
29,3595.1,1.02598,1.07547,1.28197,0.76298,0.70089,0.77321,0.55144,0.97003,0.90229,1.179,0.007228,0.007228,0.007228
30,3717.3,1.02268,1.0664,1.28343,0.75477,0.73337,0.78194,0.5619,0.95723,0.87959,1.17584,0.007129,0.007129,0.007129
31,3840.59,1.01211,1.06616,1.2718,0.74118,0.72321,0.7763,0.55594,0.96595,0.88053,1.17828,0.00703,0.00703,0.00703
32,3962.99,1.00948,1.05182,1.26956,0.74623,0.73214,0.7886,0.57046,0.93868,0.86024,1.15813,0.006931,0.006931,0.006931
33,4085.63,1.00353,1.04661,1.2681,0.77479,0.70841,0.78458,0.56845,0.93444,0.86372,1.15051,0.006832,0.006832,0.006832
34,4208.53,1.00045,1.04721,1.26959,0.77619,0.71429,0.79111,0.5702,0.93155,0.86431,1.15188,0.006733,0.006733,0.006733
35,4329.82,0.99343,1.03321,1.26264,0.76139,0.7433,0.79722,0.57515,0.92608,0.83599,1.15124,0.006634,0.006634,0.006634
36,4453.17,0.99192,1.03481,1.25548,0.74251,0.74888,0.79156,0.57516,0.90994,0.85105,1.13945,0.006535,0.006535,0.006535
37,4575.61,0.98068,1.02614,1.25192,0.7479,0.7334,0.78852,0.57685,0.91415,0.84876,1.13873,0.006436,0.006436,0.006436
38,4699.52,0.98629,1.0201,1.25687,0.75673,0.74469,0.79583,0.57885,0.91854,0.8344,1.14016,0.006337,0.006337,0.006337
39,4822.08,0.97855,1.01436,1.2509,0.76833,0.72824,0.79496,0.58284,0.90135,0.82819,1.13297,0.006238,0.006238,0.006238
40,4944.83,0.98015,1.01593,1.25318,0.77192,0.73844,0.80225,0.58516,0.90649,0.83109,1.13445,0.006139,0.006139,0.006139
41,5067.93,0.96606,0.98737,1.24382,0.7851,0.71317,0.79682,0.5833,0.90302,0.83292,1.13414,0.00604,0.00604,0.00604
42,5190.59,0.96855,0.99372,1.24263,0.76241,0.7521,0.79884,0.58528,0.91745,0.82056,1.14227,0.005941,0.005941,0.005941
43,5313.14,0.96856,0.99434,1.23748,0.76381,0.75253,0.80237,0.5874,0.9003,0.82337,1.12391,0.005842,0.005842,0.005842
44,5435.94,0.96191,0.98993,1.23774,0.76282,0.74123,0.80245,0.58221,0.90606,0.83182,1.12709,0.005743,0.005743,0.005743
45,5558.42,0.95548,0.97857,1.23742,0.75505,0.75781,0.80185,0.58466,0.90548,0.82809,1.12539,0.005644,0.005644,0.005644
46,5680.7,0.94732,0.96975,1.22197,0.76731,0.75558,0.80295,0.58719,0.89523,0.81628,1.12537,0.005545,0.005545,0.005545
47,5802.59,0.94028,0.9673,1.22645,0.77733,0.74498,0.80565,0.58985,0.89773,0.80532,1.12896,0.005446,0.005446,0.005446
48,5925.05,0.94281,0.95944,1.22411,0.76041,0.75449,0.80323,0.58987,0.89719,0.79879,1.12297,0.005347,0.005347,0.005347
