epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.514,1.02071,1.67758,1.18115,0.75586,0.73015,0.75516,0.49758,1.03334,1.24164,1.14962,0.00333115,0.00333115,0.00333115
2,668.335,1.14383,1.37717,1.25654,0.73156,0.67206,0.70905,0.45164,1.16567,1.16999,1.21444,0.0065985,0.0065985,0.0065985
3,997.397,1.32749,1.4501,1.36916,0.64097,0.56512,0.58829,0.3291,1.4708,1.4653,1.48402,0.00979986,0.00979986,0.00979986
4,1331.53,1.40823,1.5249,1.43775,0.68899,0.62831,0.66622,0.3983,1.34712,1.30122,1.39298,0.009703,0.009703,0.009703
5,1664.87,1.35484,1.43762,1.41119,0.72297,0.61981,0.69197,0.43212,1.25614,1.19249,1.32088,0.009604,0.009604,0.009604
6,1998.3,1.30034,1.35791,1.37087,0.72783,0.66658,0.72145,0.45613,1.20494,1.10128,1.27689,0.009505,0.009505,0.009505
7,2335.17,1.28094,1.31471,1.3583,0.73616,0.66287,0.72193,0.46534,1.19374,1.1344,1.27579,0.009406,0.009406,0.009406
8,2668.13,1.24552,1.26923,1.34148,0.75485,0.68566,0.74855,0.49365,1.12958,1.03382,1.23357,0.009307,0.009307,0.009307
9,2997.59,1.22112,1.22612,1.32221,0.74838,0.71213,0.76457,0.51309,1.10157,1.00177,1.21377,0.009208,0.009208,0.009208
10,3334.24,1.19952,1.20073,1.30901,0.76414,0.69632,0.76572,0.52188,1.07194,0.97582,1.18421,0.009109,0.009109,0.009109
11,3670.41,1.17319,1.16935,1.29274,0.80652,0.69886,0.78714,0.54039,1.04342,0.91383,1.16897,0.00901,0.00901,0.00901
12,4003,1.15563,1.15005,1.28335,0.7844,0.70882,0.77746,0.53794,1.04219,0.93021,1.16175,0.008911,0.008911,0.008911
13,4339.57,1.15824,1.14365,1.28107,0.79897,0.70735,0.78917,0.54136,1.04409,0.90466,1.17844,0.008812,0.008812,0.008812
14,4676.04,1.13347,1.1247,1.27139,0.80385,0.69761,0.78994,0.54961,1.01157,0.90092,1.1548,0.008713,0.008713,0.008713
15,5013.32,1.13048,1.1083,1.26041,0.79553,0.72353,0.79411,0.55927,1.00203,0.8721,1.13249,0.008614,0.008614,0.008614
16,5345.57,1.11694,1.09215,1.25958,0.81221,0.71801,0.80267,0.56421,0.99273,0.86416,1.13326,0.008515,0.008515,0.008515
17,5681.68,1.10107,1.07209,1.24144,0.81267,0.72279,0.80322,0.56966,0.98173,0.86208,1.12759,0.008416,0.008416,0.008416
18,6018.47,1.09566,1.05756,1.23955,0.80111,0.74081,0.80886,0.57671,0.96779,0.83809,1.11209,0.008317,0.008317,0.008317
19,6353.23,1.09314,1.06242,1.24063,0.79424,0.74219,0.8091,0.58112,0.96012,0.82325,1.10811,0.008218,0.008218,0.008218
20,6689.07,1.08148,1.04818,1.23124,0.80038,0.74883,0.81225,0.5784,0.95971,0.82493,1.11576,0.008119,0.008119,0.008119
21,7020.07,1.08256,1.04143,1.23418,0.80607,0.73503,0.81319,0.5831,0.94694,0.82278,1.10802,0.00802,0.00802,0.00802
22,7355.94,1.07078,1.03964,1.2292,0.80037,0.76103,0.81544,0.58971,0.92832,0.78758,1.09432,0.007921,0.007921,0.007921
23,7684.54,1.05461,1.01531,1.21531,0.8009,0.76066,0.82505,0.60033,0.91488,0.78792,1.08454,0.007822,0.007822,0.007822
24,8014.31,1.05789,1.01082,1.21928,0.82771,0.74533,0.82695,0.59865,0.9296,0.7846,1.09651,0.007723,0.007723,0.007723
25,8350.57,1.05319,0.99555,1.21231,0.83721,0.71849,0.82063,0.59941,0.91544,0.78227,1.0817,0.007624,0.007624,0.007624
26,8683.89,1.04533,0.99867,1.20674,0.82749,0.75515,0.83053,0.60477,0.91159,0.77287,1.0847,0.007525,0.007525,0.007525
27,9018.15,1.03807,0.991,1.20347,0.81359,0.76618,0.82839,0.61306,0.88651,0.75578,1.06541,0.007426,0.007426,0.007426
28,9349.68,1.03703,0.99111,1.20623,0.82857,0.75147,0.83492,0.61767,0.87696,0.75359,1.06164,0.007327,0.007327,0.007327
29,9685.53,1.02566,0.9753,1.19375,0.81808,0.76546,0.83847,0.62116,0.88445,0.74095,1.06687,0.007228,0.007228,0.007228
30,10023.1,1.02666,0.96943,1.19637,0.83442,0.75699,0.84348,0.62472,0.87731,0.73002,1.06066,0.007129,0.007129,0.007129
31,10363.7,1.01401,0.96415,1.1896,0.82973,0.75846,0.84079,0.62423,0.87537,0.72931,1.05287,0.00703,0.00703,0.00703
32,10708.5,1.01711,0.95179,1.18548,0.83114,0.76547,0.84289,0.62609,0.8709,0.7197,1.0519,0.006931,0.006931,0.006931
33,11049.3,1.0129,0.94711,1.1876,0.82239,0.77316,0.84243,0.62847,0.85917,0.72381,1.05052,0.006832,0.006832,0.006832
34,11388.6,1.00379,0.94382,1.18448,0.82016,0.77628,0.84182,0.63191,0.85677,0.71092,1.04619,0.006733,0.006733,0.006733
35,11726.4,1.002,0.94092,1.181,0.83883,0.77096,0.84948,0.63824,0.85017,0.70517,1.03683,0.006634,0.006634,0.006634
36,12073.4,0.99096,0.92825,1.17394,0.81807,0.77757,0.84811,0.63478,0.84642,0.70738,1.03367,0.006535,0.006535,0.006535
37,12416.7,0.98729,0.92731,1.17268,0.83658,0.77353,0.85003,0.6381,0.84668,0.6947,1.03676,0.006436,0.006436,0.006436
38,12761,0.98878,0.93673,1.1755,0.83061,0.78061,0.85438,0.64076,0.83623,0.69323,1.03684,0.006337,0.006337,0.006337
39,13103.5,0.98465,0.9157,1.16809,0.83701,0.77463,0.853,0.64254,0.84321,0.68885,1.03862,0.006238,0.006238,0.006238
40,13451.6,0.97934,0.9187,1.16647,0.83244,0.78713,0.85928,0.64812,0.83866,0.68236,1.03001,0.006139,0.006139,0.006139
41,13798.2,0.97251,0.90744,1.16716,0.83176,0.77974,0.85771,0.64754,0.82623,0.67462,1.0305,0.00604,0.00604,0.00604
42,14134.4,0.9692,0.89972,1.16106,0.83384,0.78566,0.85763,0.65221,0.81991,0.67138,1.02299,0.005941,0.005941,0.005941
43,14470.3,0.9655,0.89273,1.15802,0.83281,0.78897,0.8601,0.65151,0.82638,0.66358,1.0246,0.005842,0.005842,0.005842
44,14807.5,0.96236,0.89426,1.1574,0.83719,0.78456,0.85775,0.65017,0.82281,0.66642,1.02123,0.005743,0.005743,0.005743
45,15145.9,0.95818,0.89154,1.15416,0.83046,0.78698,0.86068,0.65395,0.81415,0.66455,1.01762,0.005644,0.005644,0.005644
46,15479.7,0.96272,0.8803,1.15495,0.83247,0.78919,0.86317,0.65501,0.81777,0.6559,1.01898,0.005545,0.005545,0.005545
47,15816.9,0.94827,0.87541,1.14898,0.8357,0.78166,0.85935,0.65296,0.81549,0.65836,1.01692,0.005446,0.005446,0.005446
48,16156.8,0.95406,0.87923,1.15054,0.83651,0.78346,0.85947,0.65567,0.81465,0.65614,1.01604,0.005347,0.005347,0.005347
49,16494.7,0.9449,0.87689,1.14416,0.84201,0.7857,0.86072,0.65602,0.81381,0.65658,1.01904,0.005248,0.005248,0.005248
50,16829.6,0.94667,0.86705,1.14578,0.85185,0.78015,0.86132,0.65639,0.80963,0.65484,1.01483,0.005149,0.005149,0.005149
51,17166.8,0.94092,0.87183,1.14502,0.84721,0.78284,0.8632,0.65711,0.80664,0.64863,1.01422,0.00505,0.00505,0.00505
52,17507.9,0.9468,0.8725,1.14794,0.85093,0.77978,0.86597,0.66001,0.80729,0.64766,1.01401,0.004951,0.004951,0.004951
53,17845,0.92453,0.85389,1.13748,0.83494,0.79783,0.86586,0.66102,0.80535,0.64752,1.01186,0.004852,0.004852,0.004852
54,18180.2,0.92463,0.84757,1.13995,0.83249,0.79191,0.86548,0.66035,0.80615,0.64445,1.01429,0.004753,0.004753,0.004753
55,18519.8,0.93003,0.84635,1.13478,0.83877,0.78897,0.86593,0.66201,0.80176,0.64084,1.0106,0.004654,0.004654,0.004654
56,18858.2,0.91553,0.84168,1.13473,0.85672,0.77904,0.86615,0.66517,0.79621,0.63543,1.00759,0.004555,0.004555,0.004555
57,19192.1,0.91378,0.83685,1.12808,0.84714,0.79044,0.86819,0.668,0.79462,0.63483,1.0058,0.004456,0.004456,0.004456
58,19533.3,0.91237,0.82725,1.12721,0.84473,0.7886,0.86863,0.66615,0.79702,0.63314,1.00746,0.004357,0.004357,0.004357
59,19869.4,0.92009,0.83797,1.12802,0.83658,0.79559,0.86961,0.66578,0.79515,0.63211,1.00588,0.004258,0.004258,0.004258
60,20205.6,0.91652,0.83131,1.12383,0.83927,0.79474,0.86983,0.66667,0.79423,0.63459,1.00489,0.004159,0.004159,0.004159
61,20542.9,0.91091,0.82664,1.12409,0.8499,0.7869,0.87059,0.66797,0.79275,0.63225,1.00352,0.00406,0.00406,0.00406
62,20883,0.89985,0.82005,1.12177,0.8474,0.79265,0.87261,0.66931,0.78601,0.62975,1.00022,0.003961,0.003961,0.003961
63,21220.7,0.89669,0.81022,1.11816,0.84006,0.79596,0.87161,0.67033,0.78636,0.6284,1.00115,0.003862,0.003862,0.003862
64,21562.5,0.89226,0.81138,1.11751,0.84317,0.79459,0.87131,0.67109,0.78666,0.62631,1.00134,0.003763,0.003763,0.003763
65,21899.9,0.89817,0.80541,1.11624,0.84733,0.7917,0.87219,0.67072,0.78514,0.62335,1.0004,0.003664,0.003664,0.003664
66,22235.7,0.88784,0.80198,1.11235,0.84829,0.79351,0.87361,0.67272,0.7841,0.62162,0.99822,0.003565,0.003565,0.003565
67,22578.7,0.88712,0.80431,1.11223,0.85061,0.78921,0.87425,0.67254,0.78462,0.62281,0.99801,0.003466,0.003466,0.003466
68,22913.5,0.87785,0.79294,1.10808,0.84053,0.79779,0.87467,0.67379,0.78235,0.62063,0.99652,0.003367,0.003367,0.003367
69,23251.3,0.89276,0.79932,1.11557,0.84479,0.79644,0.87467,0.6749,0.78118,0.61937,0.99653,0.003268,0.003268,0.003268
70,23589.8,0.87663,0.78918,1.11056,0.84894,0.79338,0.87451,0.67499,0.77957,0.61788,0.99576,0.003169,0.003169,0.003169
71,23934.4,0.88083,0.78438,1.10493,0.84551,0.79879,0.87475,0.675,0.78096,0.61803,0.99637,0.00307,0.00307,0.00307
72,24273.3,0.87227,0.78677,1.10413,0.83837,0.80588,0.87493,0.67563,0.78061,0.61691,0.9955,0.002971,0.002971,0.002971
73,24611.8,0.86732,0.78191,1.09995,0.84857,0.79729,0.87513,0.67691,0.77853,0.61459,0.99328,0.002872,0.002872,0.002872
