epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.333,1.01182,1.68178,1.18025,0.7793,0.74524,0.78607,0.52818,1.02033,1.19133,1.12263,0.0033311,0.0033311,0.0033311
2,646.756,1.15393,1.38495,1.25628,0.78098,0.69612,0.75687,0.49242,1.1216,1.14432,1.21929,0.00659845,0.00659845,0.00659845
3,974.794,1.31651,1.45735,1.3737,0.64281,0.56333,0.61177,0.35245,1.43289,1.48016,1.46262,0.00979981,0.00979981,0.00979981
4,1301.85,1.41952,1.53612,1.4579,0.71515,0.62813,0.6834,0.40494,1.33373,1.26912,1.37609,0.009703,0.009703,0.009703
5,1626.07,1.35547,1.4378,1.41303,0.70224,0.6249,0.67794,0.41517,1.25744,1.2267,1.32967,0.009604,0.009604,0.009604
6,1948.01,1.30914,1.36399,1.38614,0.73772,0.65194,0.72028,0.45523,1.1999,1.12718,1.28659,0.009505,0.009505,0.009505
7,2272.65,1.26962,1.31704,1.36312,0.7597,0.68469,0.75012,0.48654,1.14633,1.07338,1.25406,0.009406,0.009406,0.009406
8,2603.75,1.24063,1.27374,1.33885,0.79409,0.69612,0.76313,0.50079,1.14309,1.03907,1.23929,0.009307,0.009307,0.009307
9,2927.79,1.21714,1.24019,1.32284,0.77815,0.70792,0.77467,0.51552,1.12099,1.00225,1.22387,0.009208,0.009208,0.009208
10,3250.42,1.19872,1.21416,1.31437,0.78272,0.71478,0.77928,0.52857,1.06983,0.97546,1.19138,0.009109,0.009109,0.009109
11,3572.62,1.17705,1.18765,1.29931,0.79819,0.71325,0.78656,0.5328,1.05344,0.94934,1.19139,0.00901,0.00901,0.00901
12,3895.93,1.16673,1.166,1.29218,0.79763,0.71745,0.79337,0.55006,1.01938,0.92568,1.15843,0.008911,0.008911,0.008911
13,4227.23,1.1515,1.1467,1.28186,0.79799,0.72848,0.79662,0.54747,1.03672,0.90563,1.17017,0.008812,0.008812,0.008812
14,4555.87,1.14142,1.12681,1.27238,0.81469,0.72657,0.80175,0.55738,1.02464,0.9032,1.1695,0.008713,0.008713,0.008713
15,4885.2,1.13042,1.1067,1.26533,0.80262,0.72936,0.80311,0.56191,1.0166,0.88071,1.15167,0.008614,0.008614,0.008614
16,5216.35,1.11256,1.08958,1.25679,0.80162,0.74105,0.80934,0.56881,1.00149,0.87636,1.14974,0.008515,0.008515,0.008515
17,5548.57,1.11329,1.08805,1.25684,0.8196,0.71801,0.80593,0.56844,0.98143,0.87421,1.13922,0.008416,0.008416,0.008416
18,5870.9,1.09892,1.07603,1.24623,0.8314,0.71478,0.80963,0.58243,0.95904,0.84237,1.11887,0.008317,0.008317,0.008317
19,6196.94,1.09358,1.07108,1.24104,0.82417,0.75057,0.81998,0.5856,0.95981,0.82186,1.12022,0.008218,0.008218,0.008218
20,6520.99,1.0729,1.05094,1.2312,0.82127,0.7342,0.81693,0.58736,0.95094,0.82845,1.11515,0.008119,0.008119,0.008119
21,6854.22,1.08037,1.04394,1.23117,0.81262,0.74486,0.82064,0.58846,0.94081,0.81983,1.10777,0.00802,0.00802,0.00802
22,7182.35,1.06673,1.03136,1.22876,0.8242,0.73915,0.82036,0.59304,0.93797,0.81047,1.10833,0.007921,0.007921,0.007921
23,7507.98,1.06568,1.02591,1.22247,0.80818,0.75891,0.82554,0.59033,0.9306,0.79843,1.10071,0.007822,0.007822,0.007822
24,7835.75,1.05392,1.0174,1.21908,0.82694,0.76058,0.83413,0.60459,0.91794,0.78312,1.08843,0.007723,0.007723,0.007723
25,8163.62,1.04767,1.01602,1.21171,0.82896,0.75114,0.82985,0.60475,0.91112,0.78488,1.08319,0.007624,0.007624,0.007624
26,8488.4,1.04809,1.00898,1.21335,0.82712,0.76885,0.83802,0.61082,0.91371,0.77915,1.08699,0.007525,0.007525,0.007525
27,8814.81,1.03705,0.99098,1.20846,0.82677,0.76352,0.84087,0.61915,0.89591,0.74741,1.07592,0.007426,0.007426,0.007426
28,9140.24,1.03844,0.98636,1.20599,0.80918,0.77342,0.8355,0.61776,0.88822,0.75406,1.07417,0.007327,0.007327,0.007327
29,9469.9,1.03086,0.98388,1.20367,0.83355,0.75897,0.83633,0.62037,0.88387,0.76534,1.07356,0.007228,0.007228,0.007228
30,9797.58,1.02689,0.98079,1.20135,0.83653,0.77113,0.84513,0.62741,0.86157,0.73793,1.05322,0.007129,0.007129,0.007129
31,10120.6,1.01834,0.96993,1.19445,0.84614,0.7658,0.84577,0.62544,0.87834,0.73284,1.0665,0.00703,0.00703,0.00703
32,10449.1,1.01877,0.95861,1.19473,0.82864,0.7757,0.84674,0.62508,0.87375,0.72966,1.05915,0.006931,0.006931,0.006931
33,10771.8,1.00809,0.9573,1.18828,0.83931,0.76504,0.84768,0.62959,0.86908,0.72957,1.05483,0.006832,0.006832,0.006832
34,11096.1,1.00619,0.94771,1.18579,0.83997,0.77352,0.85224,0.63401,0.86325,0.72,1.05553,0.006733,0.006733,0.006733
35,11418.1,0.99851,0.94205,1.18436,0.83413,0.77037,0.84888,0.63583,0.85304,0.719,1.04517,0.006634,0.006634,0.006634
36,11746.3,1.00476,0.94275,1.18416,0.84343,0.7775,0.8508,0.63723,0.85653,0.70603,1.05165,0.006535,0.006535,0.006535
37,12077.1,0.98525,0.92829,1.17573,0.86085,0.76504,0.85209,0.63513,0.85534,0.70414,1.05335,0.006436,0.006436,0.006436
38,12409.7,0.9883,0.93509,1.17964,0.84537,0.7757,0.85554,0.64142,0.83936,0.69791,1.04184,0.006337,0.006337,0.006337
39,12743.6,0.98921,0.92539,1.17638,0.85463,0.7746,0.85491,0.63967,0.84489,0.70545,1.04393,0.006238,0.006238,0.006238
40,13072.9,0.98568,0.92365,1.16989,0.85859,0.7757,0.85719,0.64271,0.84561,0.68967,1.04293,0.006139,0.006139,0.006139
41,13402,0.97659,0.91094,1.16655,0.86937,0.77418,0.86164,0.64745,0.8401,0.68304,1.03971,0.00604,0.00604,0.00604
42,13730.9,0.97078,0.90811,1.16816,0.84744,0.77989,0.8633,0.64966,0.84064,0.68401,1.04727,0.005941,0.005941,0.005941
43,14066.6,0.97112,0.90404,1.16418,0.84869,0.78027,0.864,0.65235,0.82695,0.67848,1.03401,0.005842,0.005842,0.005842
44,14395,0.96253,0.89828,1.16051,0.85491,0.7757,0.8606,0.64919,0.82328,0.67492,1.03101,0.005743,0.005743,0.005743
45,14725.6,0.96048,0.89013,1.15769,0.85112,0.78372,0.86036,0.65272,0.8165,0.67682,1.02447,0.005644,0.005644,0.005644
46,15056.2,0.9586,0.89312,1.15571,0.84442,0.78332,0.86003,0.65158,0.81678,0.68359,1.02289,0.005545,0.005545,0.005545
47,15385.5,0.95679,0.88641,1.15476,0.84827,0.78218,0.86277,0.65671,0.81376,0.67102,1.02337,0.005446,0.005446,0.005446
48,15714.7,0.95409,0.8833,1.15278,0.86633,0.77113,0.86176,0.65798,0.81235,0.66835,1.01848,0.005347,0.005347,0.005347
49,16045.3,0.94436,0.87415,1.14915,0.84876,0.79071,0.86283,0.65554,0.81494,0.66306,1.02176,0.005248,0.005248,0.005248
50,16378.9,0.94429,0.87115,1.1488,0.84715,0.78727,0.86035,0.65828,0.80601,0.65801,1.01808,0.005149,0.005149,0.005149
51,16705.5,0.93804,0.86554,1.14667,0.84883,0.79284,0.86602,0.66041,0.80731,0.65094,1.01865,0.00505,0.00505,0.00505
52,17033.9,0.93315,0.87136,1.14776,0.86347,0.78511,0.87016,0.66137,0.80422,0.64687,1.0159,0.004951,0.004951,0.004951
53,17361.9,0.93217,0.86386,1.14581,0.85702,0.78827,0.86937,0.66305,0.80396,0.64291,1.01699,0.004852,0.004852,0.004852
54,17699.5,0.93343,0.85888,1.14514,0.85601,0.78637,0.86999,0.66615,0.80437,0.63832,1.01572,0.004753,0.004753,0.004753
55,18028.1,0.92612,0.85357,1.13893,0.85775,0.78332,0.86821,0.66619,0.80135,0.6418,1.01455,0.004654,0.004654,0.004654
56,18364.1,0.91775,0.83834,1.13659,0.85329,0.7936,0.86935,0.66552,0.79891,0.63698,1.01329,0.004555,0.004555,0.004555
57,18688.8,0.92206,0.84758,1.13814,0.84537,0.80361,0.86865,0.66689,0.79562,0.63198,1.01058,0.004456,0.004456,0.004456
58,19015.3,0.91987,0.84224,1.13404,0.85415,0.80122,0.86988,0.6683,0.79164,0.63205,1.00739,0.004357,0.004357,0.004357
59,19339.8,0.91438,0.83616,1.13028,0.8597,0.79335,0.87075,0.66693,0.79406,0.63409,1.00824,0.004258,0.004258,0.004258
60,19666.1,0.91649,0.83518,1.13439,0.86011,0.79893,0.87265,0.66789,0.78977,0.62931,1.00633,0.004159,0.004159,0.004159
61,19996.6,0.90449,0.82482,1.12632,0.85529,0.79678,0.87289,0.66948,0.78594,0.63183,1.00356,0.00406,0.00406,0.00406
62,20321.4,0.91061,0.82412,1.12663,0.85769,0.79867,0.8732,0.66782,0.78936,0.62872,1.00739,0.003961,0.003961,0.003961
63,20654.9,0.9011,0.81702,1.12145,0.8651,0.7917,0.87313,0.66818,0.79028,0.62743,1.00776,0.003862,0.003862,0.003862
64,20983.8,0.89618,0.81304,1.11775,0.87013,0.78903,0.87442,0.66921,0.79009,0.62191,1.00587,0.003763,0.003763,0.003763
65,21316.7,0.89252,0.80828,1.11937,0.86612,0.78751,0.87436,0.67052,0.78664,0.62357,1.00471,0.003664,0.003664,0.003664
66,21645.7,0.90056,0.80582,1.12124,0.87534,0.78294,0.87317,0.67097,0.78597,0.62246,1.00451,0.003565,0.003565,0.003565
67,21974.7,0.88441,0.80075,1.11326,0.85929,0.79322,0.87424,0.67262,0.78162,0.61893,1.0016,0.003466,0.003466,0.003466
68,22301.2,0.88734,0.79934,1.11402,0.85133,0.79893,0.87567,0.67528,0.77763,0.61587,0.9993,0.003367,0.003367,0.003367
69,22631.4,0.87869,0.79481,1.10863,0.8556,0.7936,0.8762,0.67628,0.77779,0.61574,0.99989,0.003268,0.003268,0.003268
70,22963.3,0.88267,0.78864,1.10754,0.85567,0.79817,0.87688,0.67726,0.77683,0.61559,0.99971,0.003169,0.003169,0.003169
71,23295.3,0.87578,0.79471,1.11023,0.85435,0.7997,0.87722,0.67647,0.7752,0.61377,0.99861,0.00307,0.00307,0.00307
72,23627.5,0.87014,0.78133,1.10798,0.85614,0.79997,0.87815,0.67693,0.77317,0.61102,0.99772,0.002971,0.002971,0.002971
73,23958.9,0.86994,0.77061,1.10202,0.85285,0.7997,0.87774,0.67751,0.77227,0.60946,0.99774,0.002872,0.002872,0.002872
74,24295.1,0.86525,0.78044,1.10676,0.85362,0.79627,0.87823,0.67822,0.77025,0.60942,0.99699,0.002773,0.002773,0.002773
75,24624.3,0.86457,0.77141,1.10056,0.85537,0.79208,0.87744,0.67908,0.7703,0.60854,0.99724,0.002674,0.002674,0.002674
76,24953.8,0.85957,0.7683,1.09952,0.85347,0.79703,0.87759,0.67913,0.77112,0.60725,0.99718,0.002575,0.002575,0.002575
77,25283.6,0.85573,0.76287,1.0975,0.87051,0.78336,0.87873,0.68059,0.77109,0.60775,0.99687,0.002476,0.002476,0.002476
78,25621.8,0.85569,0.76029,1.0951,0.87137,0.78104,0.87815,0.68007,0.76976,0.60635,0.99587,0.002377,0.002377,0.002377
79,25949.4,0.85572,0.75826,1.0974,0.87068,0.78452,0.87856,0.67982,0.76946,0.60515,0.996,0.002278,0.002278,0.002278
80,26282,0.8453,0.74973,1.09333,0.87048,0.78637,0.87964,0.68056,0.76904,0.60418,0.99606,0.002179,0.002179,0.002179
81,26623.7,0.84222,0.75079,1.09019,0.8715,0.78599,0.87928,0.68111,0.76857,0.60446,0.99599,0.00208,0.00208,0.00208
82,26950.9,0.84012,0.74823,1.09129,0.86885,0.78965,0.87925,0.68177,0.76844,0.6033,0.99611,0.001981,0.001981,0.001981
83,27276.4,0.83588,0.74109,1.08742,0.86776,0.78941,0.87931,0.68161,0.76804,0.601,0.99603,0.001882,0.001882,0.001882
84,27607.1,0.83186,0.73825,1.08215,0.86792,0.79056,0.87973,0.68115,0.76761,0.60019,0.99631,0.001783,0.001783,0.001783
85,27932.2,0.8307,0.73117,1.08284,0.86703,0.79207,0.88012,0.6817,0.76699,0.59921,0.99619,0.001684,0.001684,0.001684
86,28255.8,0.8271,0.72703,1.08026,0.86359,0.79398,0.88016,0.68253,0.76692,0.5997,0.9958,0.001585,0.001585,0.001585
87,28580.5,0.82827,0.72572,1.08051,0.86173,0.79742,0.87999,0.68308,0.7666,0.59911,0.99572,0.001486,0.001486,0.001486
88,28906.4,0.8268,0.72109,1.0819,0.86295,0.79855,0.88017,0.68304,0.76613,0.59832,0.99555,0.001387,0.001387,0.001387
89,29235.6,0.81498,0.71194,1.07078,0.86198,0.79931,0.88012,0.68277,0.76603,0.59717,0.99546,0.001288,0.001288,0.001288
90,29559.9,0.81448,0.71242,1.07097,0.86682,0.79561,0.88037,0.68302,0.7656,0.59678,0.99532,0.001189,0.001189,0.001189
91,29890.8,0.7365,0.57632,1.00822,0.86729,0.79639,0.88026,0.68249,0.7655,0.5964,0.99549,0.00109,0.00109,0.00109
92,30207.6,0.73111,0.57101,1.0076,0.8669,0.79779,0.87995,0.68303,0.76545,0.59622,0.99588,0.000991,0.000991,0.000991
