epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.353,1.0144,1.66827,1.17577,0.80234,0.73924,0.79629,0.54946,0.9752,1.08407,1.09393,0.00333109,0.00333109,0.00333109
2,721.72,1.14995,1.36296,1.25522,0.74742,0.66329,0.71763,0.46604,1.16868,1.16416,1.24693,0.00659845,0.00659845,0.00659845
3,1120.91,1.31968,1.45309,1.37322,0.65951,0.58907,0.61724,0.34836,1.42588,1.44916,1.45682,0.00979981,0.00979981,0.00979981
4,1485.21,1.40062,1.49197,1.4324,0.70847,0.58943,0.64721,0.36881,1.3764,1.33072,1.42941,0.009703,0.009703,0.009703
5,1800.28,1.35102,1.42216,1.40858,0.69997,0.60246,0.66703,0.41221,1.31056,1.26614,1.37877,0.009604,0.009604,0.009604
6,2107.07,1.29593,1.33954,1.37108,0.74343,0.63891,0.71455,0.4445,1.23414,1.17614,1.32138,0.009505,0.009505,0.009505
7,2416.69,1.25568,1.29037,1.34882,0.77813,0.6698,0.74464,0.48465,1.18201,1.07025,1.27254,0.009406,0.009406,0.009406
8,2736.03,1.23456,1.24772,1.33178,0.771,0.6803,0.73776,0.47697,1.14253,1.05618,1.25391,0.009307,0.009307,0.009307
9,3047.07,1.21005,1.21156,1.3157,0.80157,0.68738,0.77167,0.51619,1.11915,1.0006,1.22331,0.009208,0.009208,0.009208
10,3360.14,1.18747,1.18603,1.30148,0.80975,0.66724,0.76398,0.51085,1.09647,1.01057,1.22314,0.009109,0.009109,0.009109
11,3663.48,1.17335,1.16755,1.28654,0.79574,0.68537,0.77121,0.51839,1.0813,0.9851,1.20028,0.00901,0.00901,0.00901
12,3967.09,1.16061,1.13973,1.2823,0.79965,0.7052,0.77775,0.52482,1.07861,0.95655,1.19883,0.008911,0.008911,0.008911
13,4278.03,1.14981,1.12688,1.27759,0.82158,0.70746,0.79196,0.54528,1.04117,0.91715,1.17441,0.008812,0.008812,0.008812
14,4575.41,1.13085,1.10324,1.26615,0.81013,0.71035,0.79582,0.54947,1.03331,0.90542,1.16702,0.008713,0.008713,0.008713
15,4874.97,1.12347,1.09009,1.25808,0.83089,0.70601,0.79812,0.56212,0.99646,0.88411,1.1462,0.008614,0.008614,0.008614
16,5181.2,1.11006,1.073,1.24795,0.81418,0.73172,0.80836,0.5638,1.00064,0.85891,1.14702,0.008515,0.008515,0.008515
17,5477.54,1.10062,1.0615,1.24354,0.80959,0.72197,0.80222,0.57011,0.9842,0.85156,1.13143,0.008416,0.008416,0.008416
18,5779.11,1.09485,1.04868,1.233,0.81454,0.73461,0.81184,0.57372,0.97498,0.83168,1.12602,0.008317,0.008317,0.008317
19,6086.27,1.08104,1.03667,1.22981,0.82208,0.72936,0.81548,0.5751,0.98224,0.84502,1.13407,0.008218,0.008218,0.008218
20,6385.01,1.07407,1.02092,1.22778,0.82853,0.73497,0.8167,0.57481,0.98265,0.82921,1.13052,0.008119,0.008119,0.008119
21,6686.52,1.07325,1.02395,1.22232,0.83378,0.72194,0.81733,0.5882,0.94491,0.81153,1.11144,0.00802,0.00802,0.00802
22,6995.18,1.06256,1.01162,1.21957,0.81467,0.75127,0.822,0.5864,0.9681,0.80729,1.12702,0.007921,0.007921,0.007921
