epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.1,1.00648,1.63052,1.17874,0.79975,0.70509,0.77343,0.50808,1.06686,1.18318,1.16982,0.00333134,0.00333134,0.00333134
2,849.245,1.14031,1.34581,1.25553,0.76972,0.69236,0.75278,0.48155,1.13295,1.16209,1.2233,0.0065987,0.0065987,0.0065987
3,1284.23,1.3041,1.41849,1.36369,0.73172,0.6177,0.69139,0.41256,1.32239,1.30206,1.35992,0.00980005,0.00980005,0.00980005
4,1718.02,1.39507,1.47793,1.4391,0.73519,0.64529,0.69173,0.41356,1.32281,1.24508,1.36251,0.009703,0.009703,0.009703
5,2158.87,1.3278,1.37887,1.39656,0.74914,0.66158,0.72729,0.45341,1.2119,1.18051,1.28118,0.009604,0.009604,0.009604
6,2586.46,1.27056,1.3078,1.36064,0.77116,0.67534,0.74363,0.47464,1.17357,1.08536,1.26424,0.009505,0.009505,0.009505
7,3028.69,1.25013,1.2645,1.34864,0.7838,0.67423,0.75684,0.49579,1.13382,1.03743,1.2333,0.009406,0.009406,0.009406
8,3458.61,1.21542,1.23315,1.3207,0.78764,0.70138,0.77746,0.51877,1.10154,0.99049,1.19883,0.009307,0.009307,0.009307
9,3898.73,1.19139,1.19285,1.30749,0.78921,0.72542,0.77814,0.52626,1.08468,0.96365,1.18647,0.009208,0.009208,0.009208
10,4335.46,1.16761,1.15511,1.29294,0.78051,0.72335,0.78108,0.53137,1.05663,0.94708,1.18692,0.009109,0.009109,0.009109
11,4771.06,1.15839,1.13955,1.28312,0.80766,0.72778,0.80118,0.54889,1.05238,0.90396,1.18378,0.00901,0.00901,0.00901
12,5210.33,1.145,1.12253,1.27698,0.82114,0.72729,0.7975,0.54891,1.01458,0.89229,1.15666,0.008911,0.008911,0.008911
13,5645.84,1.13363,1.10219,1.26398,0.81103,0.73447,0.80507,0.55712,1.0282,0.88006,1.16621,0.008812,0.008812,0.008812
14,6071.26,1.10836,1.07711,1.25061,0.8118,0.74911,0.81556,0.56022,1.00611,0.86554,1.15087,0.008713,0.008713,0.008713
15,6509.34,1.10454,1.0769,1.24627,0.80361,0.74303,0.80981,0.57226,0.98457,0.85825,1.13207,0.008614,0.008614,0.008614
16,6936.06,1.09128,1.05263,1.23914,0.8217,0.73224,0.81584,0.57431,0.96493,0.8362,1.12632,0.008515,0.008515,0.008515
17,7377.57,1.08225,1.03798,1.23376,0.81149,0.75344,0.82086,0.58432,0.96215,0.81439,1.12229,0.008416,0.008416,0.008416
18,7810.37,1.08257,1.03176,1.23387,0.81221,0.76238,0.81758,0.57566,0.96062,0.82539,1.12091,0.008317,0.008317,0.008317
19,8249.95,1.06553,1.02115,1.22572,0.82829,0.75418,0.82452,0.59058,0.94321,0.80684,1.10567,0.008218,0.008218,0.008218
20,8671.91,1.05699,1.00934,1.22008,0.83755,0.75865,0.83364,0.59918,0.94062,0.80426,1.10741,0.008119,0.008119,0.008119
21,9108.89,1.05644,0.99937,1.21922,0.85134,0.75195,0.83727,0.602,0.93107,0.78432,1.10124,0.00802,0.00802,0.00802
22,9545.24,1.04126,0.9921,1.21161,0.84429,0.76237,0.83573,0.60721,0.91477,0.76146,1.09434,0.007921,0.007921,0.007921
